,ds,yhat,yhat_lower,yhat_upper
701,2023-10-19,3486.6607549760997,3376.6671995820807,3586.0921473387116
702,2023-10-20,3480.284110082466,3376.450275973979,3585.307024632946
703,2023-10-23,3464.811449263196,3356.2447017520412,3575.6068351194117
704,2023-10-25,3458.7845667326155,3351.7282919080135,3564.3187666245435
705,2023-10-26,3454.8980671482254,3346.9559165687638,3560.631653702095
706,2023-10-27,3448.9570924284358,3337.251999299149,3551.673764970832
707,2023-10-30,3436.221944246633,3329.9540800830864,3546.698322231747
708,2023-10-31,3432.1028967292523,3336.2271229629055,3538.715385335173
709,2023-11-01,3433.5135293345697,3330.3128024349503,3543.0451662493874
710,2023-11-02,3431.812961242405,3328.2759775549116,3535.771483342126
711,2023-11-03,3428.4337561058696,3321.779634928317,3533.0788457291173
712,2023-11-06,3425.7036297202817,3316.958199539551,3535.081722539131
713,2023-11-07,3425.6718280991718,3319.587745761363,3530.2264813766037
714,2023-11-08,3431.5115383174743,3328.5840833822463,3537.794407169856
715,2023-11-09,3434.546212543983,3329.137336831252,3547.4523559932954
716,2023-11-10,3436.1626500011735,3336.3545778117477,3539.585725563628
717,2023-11-13,3449.382560169209,3341.758631950449,3562.815037447864
718,2023-11-14,3454.7475235025368,3346.1936426125962,3559.640153561962
719,2023-11-15,3465.8872927537027,3364.851863139866,3568.355165904387
720,2023-11-16,3474.036796494426,3364.4764802933146,3574.5064581444394
721,2023-11-17,3480.4925739971686,3373.801762726188,3579.847711911173
722,2023-11-20,3505.6924872514483,3400.1498281028344,3611.008925282126
723,2023-11-21,3513.9306640278437,3408.778330176877,3618.199092448622
724,2023-11-22,3527.2644599141036,3412.3937225561203,3628.403216745552
725,2023-11-23,3536.872329075956,3418.891523866517,3647.3265466345056
726,2023-11-24,3544.0068686448053,3433.3669574592036,3654.805555057502
727,2023-11-27,3566.343558848995,3457.461758955652,3676.2231245020093
728,2023-11-28,3571.999662872475,3465.3167069409274,3685.1954709148745
729,2023-11-29,3581.981870796311,3474.916815285879,3690.399396866877
730,2023-11-30,3587.5201944247,3482.927562398387,3697.163411929634
731,2023-12-01,3589.9347124712235,3483.0521715785017,3697.451214795203
732,2023-12-04,3595.097710436141,3495.845093094231,3700.338294271577
733,2023-12-05,3594.381090140168,3485.6660261530255,3700.4076628195385
